Date,Location,Deaths,Injuries,Description
"April 2, 2003","Washington, D.C.",0,1,"A 10th-grader was shot in the leg near Cardozo high school in Columbia Heights, resulting in a three-hour lockdown at six D.C. public schools to allow for police to search for possible gunmen.[24]"
"April 14, 2003","New Orleans, Louisiana",1,3,"John McDonogh High School shooting. 18-year-old Steven Williams, and 17-year-old James Tate, opened fire with an AK-47 and a handgun in the gymnasium of John McDonogh High School, killing a 15-year-old student and wounding three female students. Williams was sentenced to life imprisonment, and Tate was sentenced to fifteen years.[25][26][27]"
"April 24, 2003","Red Lion, Pennsylvania",2[n 1],0,"14-year-old student, James Sheets, entered Red Lion Area Junior High School armed with his stepfather's pistols'. He killed the school's principal, Eugene Segro, before killing himself.[28][29]"
"May 9, 2003","Cleveland, Ohio",1,3[n 1],"On May 9, 2003, Biswanath Halder, a 62-year-old business school alumnus of Case Western Reserve University, killed a graduate student, wounded a professor, and another student using a semi-automatic rifle. He held the building and its nearly 100 occupants hostage for seven hours, and exchanged fire with police and SWAT officers several times during the incident, before being wounded and apprehended by a SWAT team. He was sentenced to life in prison.[30][31]"
"September 24, 2003","Cold Spring, Minnesota",2,0,"Rocori High School shooting: 15-year-old, John Jason McLaughlin, shot 15-year-old freshman Seth Bartell and 17-year-old senior Aaron Rollins at Rocori High School. Rollins was killed immediately, and Bartell died from his wounds sixteen days later. McLaughlin was sentenced to life in prison with the chance of parole in 2038.[1]"
"February 2, 2004","Washington, D.C.",1,1,"Thomas J. Boykin was acquitted of the murder of 17-year-old James Richardson, a football player at Ballou High School in Southeast Washington.[32] An 18-year-old student was also grazed in the leg by a bullet.[33]"
"February 9, 2004","East Greenbush, New York",0,1,"16-year-old Jon W. Romano, in East Greenbush, New York, fired two rounds from a shotgun before wounding a teacher with a third at Columbia High School. He was tackled by the assistant principal and charged with one count of attempted murder.[34][35]"
"May 7, 2004","Randallstown, Maryland",0,4,"Two students were charged with a school shooting that arose from a dispute after a basketball game at Randallstown High School. Four persons were injured, two seriously. One student was paralyzed from the waist down.[36]"
"February 8, 2005","Chicago, Illinois",0,1,An 18-year-old student at Bowen High School was shot in the leg as she left the school around 2:30 p.m.[37]
"March 2, 2005","Dover, Tennessee",1,0,"14-year-old Jason Clinard killed his bus driver, 47-year-old Joyce Gregory, as she stopped to pick him up. Gregory had earlier reported Clinard for using snuff on the school bus. Clinard was given a life sentence.[38] but he has since filed for post conviction relief[39]"
"March 21, 2005","Red Lake, Minnesota",10[n 1],7,"Red Lake shootings: 16-year-old student Jeff Weise, killed his grandfather and grandfather's companion at their home, where he had been living, at the Red Lake Indian Reservation. He then drove to Red Lake Senior High School. Armed with his grandfather's police weapons, Weise killed five students, one teacher and one security guard, wounding seven others, before entering a gunfight with police officers, that resulted in him committing suicide.[40]"
"July 18, 2005","Newark, New Jersey",1,2[n 1],"After breaking up a fight between a group of youths at Weequahic High School, Special Officer Dwayne Reeves was shot and killed and his partner wounded in the hand by two men who pulled up alongside him in a car. Despite being wounded, Officer Reeves' partner was able to return fire and hit one of the suspects in the stomach. The gunman was convicted of manslaughter and in 2007 was sentenced to 30 years in prison.[41]"
"September 13, 2005","Chicago, Illinois",0,1,"At Harlan Community Academy High School, a fight broke out between two 15-year-old boys in the gymnasium. Christopher Huff took out a pistol, shooting the other youth in the leg. A police officer on duty at the school arrested the gunman. The shooter was charged as an adult with aggravated battery with a firearm.[42]"
"November 8, 2005","Jacksboro, Tennessee",1,2,"Campbell County High School shooting: Inside the Campbell County High School office, 15-year-old Kenneth Bartley, shot the schools then principal, Gary Seale. He shot assistant principals Ken Bruce and Jim Pierce. Bruce later died from his wound. Bartley was sentenced to forty-five years in prison with chance of parole after twenty-nine years.[43][44][45]"
"February 23, 2006","Roseburg, Oregon",0,1,"14-year-old freshman Vincent Wayne Leodoro, shot student 16-year-old Joseph Monti, four times in the back with a handgun at Roseburg High School. Leodoro walked away from the school campus, and was confronted near a restaurant by six police officers. He threatened suicide but was persuaded to surrender.[46] He was found guilty of attempted murder and assault in July 2006, and will be held in prison until he turns twenty five years old.[47]"
"March 14, 2006","Reno, Nevada",0,2,"Pine Middle School shooting: In the hallway of Pine Middle School, 14-year-old James Scott Newman, injured two 14-year-old classmates, Alexander Rueda and Kenzie McKeon, with a revolver belonging to his parents. Two students received minor wounds. Newman was subdued by a physical education teacher. The youth was arrested and charged as an adult for attempted murder, use of a deadly weapon and use of a firearm by a minor.[48] He later pleaded guilty to charges of two counts of battery with a deadly weapon, and was sentenced as a juvenile. Newman was sentenced to house arrest until he completed two-hundred hours of community service.[49]"
"August 24, 2006","Essex Junction, Vermont",2,3[n 1],"Christopher Williams, 26, shot his girlfriend's mother, Linda Lambesis, 57 at her home and from there he went to Essex Elementary School where Andrea, his girlfriend, worked. After he arrived at the elementary school, which was not in session at the time, he shot and killed Mary Alicia Shanks, 56, and shot Mary Snedeker, 52, nonfatally. He left the school and allegedly shot Chad Johansen, 26 nonfatally. He then turned the gun on himself, but did not die as a result.[50] Williams was sentenced to life in prison without parole in 2008.[51]"
"August 30, 2006","Hillsborough, North Carolina",1,2,"After shooting and killing his father, 18-year-old teenager Alvaro Castillo went to his high school where he wounded two students. He was reportedly obsessed with the Columbine shootings and had written an email to the current Columbine high school principal before committing his own crime.[52] he was sentenced to life without parole.[53]"
"September 2, 2006","Shepherdstown, West Virginia",3[n 1],0,"49-year-old Douglas W. Pennington, killed himself and his two sons, 26-year-old Logan P. Pennington, 24-year-old Benjamin M. Pennington, during a visit to the campus of Shepherd University.[54][55]"
"September 17, 2006","Pittsburgh, Pennsylvania",0,5,"Five Duquesne University basketball players were shot early Sunday morning during an apparent act of random violence on campus, leaving three hospitalized — two of them in critical condition.[56]"
"September 22, 2006","Washington, D.C.",0,1,"Eugene Huff, 17, and an unnamed 16-year-old male sophomore were arguing at one of Cardozo High School's entrances.  The fight climaxed when Eugene pulled out a handgun and shot his classmate in the leg.  The shooting was captured on the school's surveillance system and witnesses said they heard as many as seven shots.[57][24]"
"September 27, 2006","Bailey, Colorado",2[n 1],0,"Platte Canyon High School hostage crisis: 53-year-old drifter, Duane Roger Morrison, walked into Platte Canyon High School and took six girls hostage. During the ensuing siege, Morrison sexually assaulted all of the girls. When a SWAT team stormed the classroom, Morrison killed 16-year-old Emily Keyes, then took his own life after being shot and wounded by police.[58]"
"September 29, 2006","Cazenovia, Wisconsin",1,0,"Weston High School shooting: At around 8 a.m., 15-year-old freshman, Eric Hainstock, entered Weston High School. He aimed a 20-gauge shotgun at social studies teacher, Chuck Keller, before it was wrestled from him by school custodian, Dave Thompson. Hainstock then shot 49-year-old high school principal, John Alfred Klang, with a .22 caliber revolver. Klang died later that afternoon.[59][60] Hainstock was charged and convicted of murder, and is serving a life sentence. He will be eligible for parole in 2037.[45][61]"
"October 2, 2006","Nickel Mines, Pennsylvania",6[n 1],5,"West Nickel Mines School shooting: 32-year-old milk truck driver, Charles Carl Roberts IV, killed five Amish girls and wounded five others before killing himself in an Amish school in the hamlet of Nickel Mines, in Bart Township, Lancaster County.[62]"
"October 9, 2006","Joplin, Missouri",0,0,"13-year-old student Thomas White fired one shot from a MAK-90 rifle at a hallway ceiling at Memorial Middle School. The gunshot struck a water pipe, and nobody was injured. He also tried repeatedly to shoot principal Stephen Gilbreth at near-point-blank range as Gilbreth ushered him out of the school. Joplin police say the attempt was foiled by an improperly seated ammunition magazine in the rifle. The principal was not injured. White was tried as an adult on charges of assault and firearms possession, and in 2009 he was sentenced to ten years of prison.[63]"
"January 3, 2007","Tacoma, Washington",1,0,"18-year-old student Douglas S. Chanthabouly, killed 17-year-old Samnang Kok, in the hallways of Henry Foss High School following a personal disagreement. In 2009, Chanthabouly was sentenced to 23 years in prison on a charge of second-degree murder.[64]"
"March 7, 2007","Compton, California",0,1,"During an argument with several non-students and students, a student was shot in the elbow and wounded in the eating area at Centennial High School. The shooting occurred an hour after classes were dismissed, and students in after-school activities were sent home.[65]"
"April 16, 2007","Blacksburg, Virginia",33[n 1],23,"Virginia Tech shooting: A 23-year-old student, Seung-Hui Cho, armed with two pistols, a Glock 19 and a Walther P22, killed thirty-two students and faculty members at Virginia Tech and wounded another seventeen students and faculty members in two separate attacks before committing suicide. The first attack was on the second floor of West Ambler Johnston Hall, where he shot a young girl and another student who came to help. He then changed his clothes, recorded multiple videos stating that he ""had to do it for his brothers and sisters"", and made several pictures of himself with hammers, large knives, and guns. He then chained the doors of Norris Hall shut and shot and killed thirty more students and staff. He also shot seventeen more students and staff, wounding them. Six more students were also wounded from non gunshot injuries. He was described as extremely quiet and lonely. During the rampage he wore a black T-shirt, a russet vest, a backwards baseball cap, black military cargo pants, black boots, and grip gloves. The incident is the third deadliest shooting by a lone gunman, and the deadliest school shooting, in modern U.S. history."
"September 21, 2007","Dover, Delaware",1,1,"Two 17-year-old Delaware State University freshmen were shot on campus. One died 32 days later on October 23, from critical injuries sustained in the attack. A suspected perpetrator, Loyer D. Braden, a freshman from East Orange, New Jersey, was arrested and charged with attempted murder; the charges were dismissed in May 2009.[66]"
"October 10, 2007","Cleveland, Ohio",1[n 1],5,"At SuccessTech alternative high school in downtown Cleveland, 14-year-old student Asa H. Coon shot two students and two teachers in the halls and classrooms on the fourth floor of the building. Coon then moved to another room on the same floor, where he fatally shot himself.[67]"
"November 7, 2007","Miami Gardens, Florida",0,1,"At Miami Carol City Senior High School, a robber shot a teacher, who had been smoking a cigarette outside of the campus building. The 18-year-old robber stole the teacher's wallet and was later arrested. The teacher survived the shooting.[68][69]"
"January 23, 2008","Jonesboro, Arkansas",0,1,Arkansas State University offensive line-man 20-year Alfred Louis was grazed in the lower left leg when someone fired several rounds from a 9mm handgun at a residence hall. He was treated at a local hospital. Charges were later dismissed against the person accused of firing the shots.[70]
"February 4, 2008","Memphis, Tennessee",0,1,"At Hamilton High School, a student shot a 16-year-old student in the leg during a classroom argument over rap music. The victim's injury was not life-threatening.[71]"
"February 8, 2008","Baton Rouge, Louisiana",3[n 1],0,"Latina Williams, a 23-year-old nursing student at Louisiana Technical College killed two classmates and herself in a second floor classroom.[72]"
"February 11, 2008","Miami Gardens, Florida",0,1,"43-year-old 11th grade algebra teacher, Sergio Miranda, was shot by 19-year-old Patrick Lively, outside Miami Carol City Senior High School during a robbery but was expected to survive.[73][74] In 2011, Lively received a life sentence.[75]"
"February 11, 2008","Memphis, Tennessee",0,1,"Following a feud that started off campus earlier in the week, a 19-year-old senior was shot by a 17-year-old sophomore during a gym class held in the cafeteria with about 75 other students at Mitchell High School, before handing the gun to a coach making no attempt to flee. The victim suffered at least two gunshot wounds and was in critical condition, the suspected shooter was in custody. ""He walked up to him, shot him, and made a statement to the coach that 'It's over now,' "", said principal, Daniel Ware.[76]"
"February 12, 2008","Oxnard, California",1,0,"Murder of Larry King: 14-year-old Brandon McInerney, shot 15-year-old Lawrence ""Larry"" King, twice in the head in the computer laboratory of E.O. Green Junior High School. McInerney was apprehended in a nearby neighborhood. King, who was openly homosexual, died two days later. McInerney was initially charged with a hate crime, but that charge was dropped. McInerney pleaded guilty to second-degree murder and was sentenced to 21 years in prison.[77]"
"February 14, 2008","DeKalb, Illinois",6[n 1],21,"Northern Illinois University shooting: 27-year-old Steven Kazmierczak, shot multiple people with a shotgun in a classroom of Northern Illinois University, killing five and injuring 21, before taking his own life. Kazmierczak was not enrolled at the university, but had attended in the years prior to the attack.[78]"
"February 27, 2008","Little Rock, Arkansas",0,1,33-year-old James Earl Matthews was shot in the stomach and buttocks as close range with a handgun on the University of Arkansas at little rock campus. He survived. Gerald Pride Jr. was sentenced to 20 years on multiple charges.[70]
"August 14, 2008","Federal Way, Washington",1,0,"26-year-old Omero Mendez was waiting at the Lakota Middle School campus to pick up his girlfriend's son. He was confronted by 16-year-old Luis F. Cosgaya-Alvarez and two of his friends, driving in an SUV. Cosgaya-Alvarez flashed gang signs at Mendez, and shot him once in the head. Mendez later died of his injuries. Cosgaya-Alvarez was arrested a few days later in Seattle and was charged with murder. Cosgaya-Alvarez pleaded guilty to murder and weapon enhancements, and was sentenced to eighteen years in prison.[79]"
"August 21, 2008","Knoxville, Tennessee",1,0,"At Central High School, 15-year-old Jamar Siler killed 15-year-old Ryan McDonald. In 2011, Siler was sentenced to thirty years in prison after pleading guilty to murder in a plea agreement.[80]"
"September 2, 2008","Willoughby, Ohio",0,0,"A 15-year-old student brought a handgun into South High School, and shot two rounds, one into the ceiling and one shattering a trophy case. The student then put the gun to his head. Then Assistant Principal Jeff Lyons talked the student out of doing any harm."
"October 16, 2008","Detroit, Michigan",1,3,"16-year-old Christopher Walker, was killed, and three other teenagers were seriously wounded during a drive-by shooting near Henry Ford High School, soon after classes let out. Three teenagers were arrested and charged in connection with the shooting. The shooter, 15-year-old William Morton, was sentenced to life without parole, and Devon Bell was sentenced to forty-two years of prison.[81]"
"October 26, 2008","Conway, Arkansas",2,1,"University of Central Arkansas shooting: Four young men fatally shot two students, 18-year-old Ryan Henderson, and 19-year-old Chavares Block, and wounded a 19-year-old campus visitor in the leg, outside the Arkansas Hall dormitory of University of Central Arkansas.[82]"
"November 12, 2008","Fort Lauderdale, Florida",1,0,"15-year-old Amanda Collette, was killed in the hallway at Dillard High School. The shooter, 15-year-old Teah Wimberly, was sentenced to twenty-five years to life on a first-degree murder charge.[83]"
"January 9, 2009","Chicago, Illinois",0,5,"After attendees were leaving a basketball game at Dunbar High School, a truck pulled over and someone inside fired shots at the crowd, wounding five people, three critically. 18-year-old Georgio Dukes, was arrested and charged a week later with five counts of felony aggravated battery with a firearm. Police believe that the attack was gang-related.[84]"
"April 26, 2009","Hampton, Virginia",0,3,"18-year-old Odane Greg Maye, a former student of Hampton University, followed a 43-year-old pizza delivery man into his former dormitory. Armed with three guns, Maye wounded the delivery man, then the dorm monitor. Lastly, Maye shot himself in a suicide attempt. He survived and was convicted of two charges of malicious wounding, two counts of using a gun in a felony; burglary; and shooting in an occupied building. He was sentenced to fourteen years of prison in November 2009, and was ordered by a judge to pay more than $62,000 in restitution to his victims for lost wages.[85]"
"May 18, 2009","Cambridge, Massachusetts",1,0,"20-year-old Jabrai Copney, 23-year-old Jason Aquino, and 19-year-old Blayn Jiggetts, of New York City, invited 21-year-old Justin Cosby, of Cambridge, into a Harvard College dormitory. After trying to rob him of a pound of marijuana, they shot him. The victim, Cosby, was pronounced dead early the next day. Copney turned himself in three days later, and was convicted of murder. His partners pleaded guilty to armed robbery and manslaughter. His girlfriend, 21-year-old Brittany Smith, pleaded guilty to accessory after the fact, firearm possession, and misleading a grand jury.[86]"
"May 18, 2009","Larose, Louisiana",1[n 1],0,"15-year-old Larose-Cut Off Middle School student, Justin Doucet, carried his backpack to a restroom, where he put on camouflage clothes and took out a semi-automatic handgun before storming into a nearby classroom. He attempted to shoot a teacher, Jessica Plaisance, but the gun did not fire. He returned to the restroom and shot himself in the head, dying a week later of his wounds.[87][88]"
"June 16, 2009","San Francisco, California",0,3,"After students were being let out of International Studies Academy on the first day of summer school classes, a man left a car and opened fire, wounding three people, including a 17-year-old female student. An 18-year-old man was arrested for being an accessory in the crime.[89]"
"September 3, 2009","San Bruno, California",0,1,"A 20-year-old student was wounded in the parking lot of Skyline College after an argument between him and other men. The college campus was placed on lockdown. Three San Francisco residents, 18-year-old Germaine B. Benjamin, 20-year-old Dimaryea J. McGhee, and 18-year-old Jacori W. Bender, were each arrested and charged with felony firearm offenses.[90]"
"February 5, 2010","Madison, Alabama",1,0,"14-year-old student, Hammad Memon, killed 14-year-old Todd Brown at Discovery Middle School as classes were changing. The shooting was possibly related to gang activity. In May 2013, Memon pleaded guilty to the murder and was sentenced to thirty years of prison. After Memon is released from prison, he is likely to be deported to his native Pakistan.[91]"
"February 19, 2010","DeKalb, Illinois",0,1,"Less than a week after Northern Illinois University solemnly marked the second anniversary of a mass shooting on campus that claimed the lives of five students, the DeKalb school was the scene of further gun violence. 24-year-old NIU student, Brian Mulder, refused entry to 22-year-old Zachary R. Isaacman, when he had tried to follow a female resident into the Stevenson Residence Hall North, where they were living, because he was not a resident. Moments later, while outside the dorm smoking with a friend, Mulder was shot by Isaacman, with a handgun in the leg above the knee. Isaacman tried to flee, but was caught by police within minutes.[92]"
"February 23, 2010","Littleton, Colorado",0,2,"At Deer Creek Middle School, 32-year-old Bruco Strong Eagle Eastwood opened fire from a rifle in a parking lot, and wounded two eighth-graders Reagan Webber and Matt Thieu, before being restrained by 57-year-old Math teacher, David Benke, and held until his arrest. The boy's wounds were critical for the four days following the shooting.[93] In October 2011, Eastwood was found not guilty by reason of insanity.[94][95]"
"May 11, 2010","Bladenboro, North Carolina",0,1,A West Bladen High School student was shot on campus as students were leaving school for the day. Investigators said the incident started when a fight broke out between two groups of students near the high school's entrance.[96]
"September 8, 2010","Detroit, Michigan",0,2,"Two students were wounded in front of Mumford High School by 17-year-old Steven Jamal Hare. He was tried as an adult and charged with assault with intent to kill. In 2012, Hare was sentenced to 27 years in prison.[97]"
"September 28, 2010","Austin, Texas",1[n 1],1,"A 19-year-old sophomore student Colton Tooley, wielding an AK-47 and wearing a ski mask, opened fire and then killed himself in a University of Texas library[98]"
"October 1, 2010","Salinas, California",1,0,15-year-old student Jose Daniel Cisneros was killed after being shot several times on an athletic field at Alisal High School while walking to school. Police said that the shooting was gang-related.[99]
"October 8, 2010","Carlsbad, California",0,2,"41-year-old Brendan O'Rourke climbed over a fence and opened fire with a handgun in a playground of Kelly Elementary School, which had 230 students; two second-grade female students were grazed in the arms before O'Rourke was subdued by a construction worker. He was found guilty of seven counts of attempted murder and was sentenced to 189 years to life in prison.[100]"
"November 29, 2010","Marinette, Wisconsin",1[n 1],0,"15-year-old Samuel Hengel took 23 students and a teacher hostage inside a classroom of Marinette High School for five hours. He had stormed into the class, firing with a handgun at a movie projector. Police persuaded Hengel to release the hostages. After officers entered the building, Hengel shot himself in the head. He died the next day.[101]"
"December 6, 2010","Aurora, Colorado",0,1,"In a gang-related attack outside Aurora Central High School, a 17-year-old girl was paralyzed. She was one of a group of students outside the school. 20-year-old Luis Enrique Guzman-Rincon, had fired shots from a car trying to hit gang rivals. Guzman-Ricon was sentenced to thirty-five years in prison.[102]"
"January 5, 2011","Omaha, Nebraska",2[n 1],2,"At Millard South High School, 18-year-old student, Robert Butler Jr., killed assistant principal Dr. Vicki Kaspar and wounded principal Curtis Case before opening fire at police in the front office area, causing the school nurse to be wounded by gunshot debris. Butler then drove to a parking lot and shot himself as police cornered him.[103]"
"March 25, 2011","Martinsville, Indiana",0,1,"Michael Phelps, a 15-year-old suspended student, returned to Martinsville West Middle School with a handgun. In the entrance of the school, Phelps shot 15-year-old Chance Jackson twice in the abdomen, critically wounding him. Phelps fled the school and dropped the handgun; he was arrested shortly after. Jackson had to undergo surgery three times to save his life; he suffers from post-traumatic stress disorder. Phelps was convicted of attempted murder in August 2011, and was sentenced to thirty years in prison and five years of probation.[104]"
"March 31, 2011","Houston, Texas",1,5,"Multiple gunmen opened fire during a powder puff football game at Worthing High School. One man, an 18-year-old former student named Tremaine De Ante' Paul, died. Five other people were injured.[105]"
"April 19, 2011","Houston, Texas",0,3[n 1],"6-year-old boy took a semi-automatic pistol in his backpack to Ross Elementary, Later that morning as he and more than 40 other kindergartners were having lunch in a crowded cafeteria, the boy accidentally fired the gun as he was showing it off to friends. The boy, as well as another 6-year-old boy and a 5-year-old girl were injured. Houston police say the gun belonged to a friend of the boy's family.[106]"
"May 23, 2011","Pearl City, Hawaii",0,1,"A 14-year-old male student was accused of firing a handgun on the campus of Highlands Intermediate School, wounding one student. The gunman was arrested on suspicion of attempted murder. Two other suspects were arrested in connection with the shooting.[107]"
"August 19, 2011","Albany, Georgia",0,1,An Albany State University student was shot on campus.[108]
"September 28, 2011","Jurupa Valley, California",2,0,"64-year-old Donaciano Aguirre fatally shot his 61-year-old wife and teacher's aide, Maria Celia Aguirre, in the parking lot of Patriot High School (California) at 10:40am. He then committed suicide and the school was put on lockdown. After being searched thoroughly, no other victims were found and students were let go late in the afternoon.[109]"
"October 24, 2011","Fayetteville, North Carolina",0,1,"Cape Fear High School shooting: 15-year-old Catilyn Abercrombie, was shot in the neck with a rifle by fellow student, 15-year-old Charles Underwood, at Cape Fear High School. She was hospitalized for two months in a serious condition. Underwood was arrested and charged with attempted murder. He was convicted of attempted first-degree murder and sentenced to fifteen years in prison.[110]"
"December 8, 2011","Blacksburg, Virginia",2[n 1],0,"22-year-old Ross Truett Ashley, part-time business student at Radford University, killed a police officer engaged in an unrelated traffic stop on the campus of Virginia Tech. He then committed suicide in a nearby parking lot.[111]"
"December 9, 2011","Edinburg, Texas",0,2,"Two students were shot after school at Harwell Middle School in Edinburg, Texas while trying out for their school's basketball team. The shooting allegedly was done by an adult off campus, who was shooting at a target range.[112]"
"January 10, 2012","Houston, Texas",0,1,"A student opened fire with a handgun at North Forest High School, wounding another student. The shooter said that he had been confronted by three students who had been bullying him and he shot in self-defense. He hit a 16-year-old bystander in the leg. The 18-year-old suspect was charged with aggravated assault with a deadly weapon.[113]"
"February 23, 2012","Bremerton, Washington",0,1,"Armin Jahr Elementary School:[114] A 9-year-old boy accidentally set off a firearm in class after slamming his backpack on a desk hitting 8-year-old Amina Kocer-Bowman in the abdomen causing her to spend 8 weeks in a hospital. The boy said he took the gun because he planned to run away from his uncle's house, where he lived, and that he planned to bring a gun with him for protection. The boy's mother, Jamie Lee Chaffin, a felon, eventually pleaded guilty to weapons charges and was sentenced to 14 months in prison.[115][116][117] The boy made a plea agreement with Kitsap County prosecutors, taking responsibility for bringing the handgun school to and was sentenced to a year of court-supervised probation.[117]"
"February 27, 2012","Chardon, Ohio",3,3,"Chardon High School shooting: 17-year-old Thomas ""T. J."" Lane, took a semi-automatic handgun and a knife to Chardon High School, where he fired ten shots at a group of students sitting in the cafeteria. He killed three boys and wounded three other students. One 16-year-old died immediately, two others died the following day. Lane was arrested early the next morning while standing near his car.[118] He was charged as an adult with murder, attempted murder, and firearms offenses. In March 2013, he was convicted and sentenced to three life sentences without the possibility of parole.[119]"
"April 2, 2012","Oakland, California",7,3,"Oikos University shooting: 43-year-old One L. Goh, was accused of shooting dead seven students with a handgun and wounding three others at Oikos University, a Christian college. He fled the scene, stealing a victim's car, and was apprehended hours later nearby. Goh was charged with seven counts of murder. In January 2013, Goh was determined to be mentally unfit for trial and committed for treatment.[120]"
March 6. 2012,"Jacksonville, Florida",2,0,"Shane Schumerth, a fired teacher at Episocpal High School, shot Headmistress Dale Regan before killing himself.[121][122][123][124][125][126][127]"
"August 16, 2012","Memphis, Tennessee",0,2,Two Hamilton High School students were wounded in the parking lot of the school. The attack was believed to be gang-related.[128]
